,age,sex,has_pets,is_parent,relation,is_driver,tr_per_month,median_tr,mean_tr
190,38.0,2,0,0,0,0,52.95743273542601,135.0,409.19742268041233
127,42.0,2,1,0,0,0,7.673594543147209,853.0,1452.0791275167785
4357,30.0,1,0,1,0,0,3.5992191516709515,486.5,1687.6843478260869
12057,41.0,1,0,1,0,0,5.91345,5080.05,5035.345882352942
4601,32.0,1,0,1,0,0,3.157147487844409,2000.535,5070.55703125
15691,45.0,1,0,0,4,0,3.613876978891821,15100.0,14457.777777777776
965,47.0,2,0,0,0,0,5.417205275229358,307.0,412.59938144329897
1036,41.0,1,0,0,0,0,9.981607967667436,461.985,1916.432957746479
19753,44.0,2,0,0,0,0,7.03742774566474,1350.0,6177.60725
7598,29.0,1,0,1,4,0,4.495292307692308,687.0,1176.2875
19155,31.0,2,0,0,0,0,95.9600374015748,397.9,1484.185434565435
20927,43.0,2,0,0,0,0,1.4633112980769232,1206.0,3202.6
2404,23.0,2,0,0,0,0,9.491638719512196,298.0,762.4969273743018
11572,61.0,1,0,1,1,0,6.096901408450704,3000.0,6008.898984375
2607,36.0,2,0,1,0,0,6.676475806451612,2288.46,7200.429044117648
3258,57.0,1,0,0,4,0,1.5840752788104089,7700.0,10725.0
28202,61.0,1,0,1,0,0,21.15267099056604,465.055,1363.541334841629
16199,45.0,1,0,0,0,0,9.271839114832536,551.0,2679.8830366492143
24733,44.0,2,0,1,0,0,48.68744900379507,900.0,1764.2964412811389
15754,56.0,2,0,1,4,0,82.47103021978022,368.0,1776.3802665121668
6383,34.0,1,0,0,4,0,45.6553125,98.0,256.6666666666667
24326,41.0,1,0,1,0,0,5.851353998384491,1072.3,9632.730420168067
29178,26.0,2,0,1,0,0,72.63563387223975,558.0,2515.312399206874
3365,69.0,2,0,0,4,0,11.791293307086615,911.0,8882.710000000001
23157,65.0,2,0,0,0,0,3.4356408982511923,12700.0,16882.16056338028
14342,54.0,2,0,0,0,0,1.7099367977528088,10700.0,11971.42857142857
21658,38.0,2,0,1,0,0,3.3173705722070848,1178.99,1782.1915
29032,37.0,2,0,0,4,0,32.86042008196721,619.51,2799.958611713666
4100,20.0,1,0,0,0,0,2.341298076923077,347.0,428.52
27344,50.0,2,0,0,0,0,1.6531210063897763,15000.0,20857.19852941177
12510,54.0,1,0,1,4,0,15.635380993150685,675.0,1407.0458666666666
1582,23.0,1,0,1,0,0,6.6600115030674845,622.0,3095.541401869159
610,28.0,2,0,1,0,0,26.7582460678808,238.0,1096.8473822975518
6173,61.0,1,0,0,4,0,7.460987215909091,527.92,5229.529602649007
15484,44.0,2,0,0,0,0,6.580945945945945,175.0,4748.078750000001
9082,40.0,1,0,0,0,0,85.09803500791139,327.6,964.4233220147142
29635,47.0,1,0,0,0,0,30.09761046974522,1081.5,2497.8832045088566
7595,23.0,1,0,0,0,0,1.0145625,1000.0,1060.0
8409,27.0,1,0,1,0,0,4.920931886227545,313.0,517.1034567901235
29143,39.0,2,0,1,0,0,59.304348632812506,321.73,823.0457818765037
23974,45.0,1,1,1,0,0,26.334098746081505,1484.0,2723.834384057971
13055,50.0,2,0,0,0,0,0.4893388263665595,8043.0,11710.371
5862,45.0,1,0,1,0,0,1.6909375000000002,825.5,1012.5628571428572
2861,39.0,2,0,1,0,0,29.99576086956522,312.5,1086.0258823529412
13251,41.0,1,0,1,0,0,3.869094279661017,1150.0,3966.4138333333335
1810,59.0,1,0,0,0,0,48.51628258293839,154.0,1158.0018533201192
11990,47.0,2,0,0,0,0,24.09986001577287,235.85,1278.6472111553785
27370,58.0,1,0,0,0,0,7.068279028436018,1261.0,2891.631292517008
15249,35.0,1,0,1,0,0,0.6138529411764706,667.5,968.625833333333
25397,25.0,2,0,0,1,0,3.4785000000000004,8400.5,9744.0
14189,54.0,2,0,0,0,0,51.54554502369668,190.0,515.0956156716418
26547,33.0,1,0,1,0,0,26.46684782608696,244.5,661.1530192307694
5762,36.0,1,0,1,0,0,33.49970518867924,665.0,1238.1419857142855
12355,35.0,1,0,1,0,0,2.577715798045603,645.0,1006.7473076923076
29291,56.0,2,0,1,0,0,4.05825,5650.0,20857.808658536585
29316,20.0,2,0,0,0,0,1.3452762430939225,67.0,561.875
10411,32.0,2,0,0,0,0,1.3834943181818182,62.0,116.16428571428573
27542,24.0,2,0,0,0,0,21.18837118167203,199.0,453.134272517321
3710,64.0,1,0,0,0,0,1.008957182320442,7374.055,13637.231666666668
10501,19.0,2,0,0,0,0,1.4633112980769232,500.0,450.0
29282,36.0,2,0,1,0,0,0.9606322674418604,768.9,884.7147368421054
2218,59.0,2,0,0,0,0,5.1474126838235295,6409.0,12735.68586956522
29802,35.0,1,0,1,0,0,5.8925790000000005,1400.0,6117.460991735537
13742,21.0,1,0,0,0,0,11.114181085918856,85.0,220.0896732026144
18815,40.0,2,0,0,0,0,1.0,1000.0,1000.0
3456,19.0,1,0,0,0,0,1.7602048192771085,247.5,359.68250000000006
12414,24.0,1,0,0,0,0,3.5478565950920244,401.0,863.0831578947367
19371,40.0,2,0,0,4,0,2.4554117647058824,17900.0,18108.21875
19683,42.0,2,0,0,0,0,6.001637323943662,4640.0,27797.94964285714
22620,54.0,1,0,0,4,0,20.14835387323944,414.9,782.7675413711584
7202,40.0,2,0,1,0,0,14.981179008908686,430.0,3790.174932126697
25568,23.0,1,0,0,0,0,6.23117125984252,576.0,1080.8755384615386
4089,41.0,2,0,0,0,0,0.9676463150289016,1565.0,2364.48
2847,34.0,1,0,1,0,0,13.823919322709164,1286.0,2746.235526315789
10345,40.0,1,0,1,0,0,12.940518511146497,698.0,3317.1435580524344
9312,30.0,2,0,1,0,0,19.73116029179811,855.0,2113.689464720195
16980,41.0,2,0,0,0,0,6.665009124087591,263.0,4987.852333333332
